area,name,price,unit_price,place
建设部大院,799万,62平米,"128,871元/平",haidian
北洼西里,750万,78平米,"96,154元/平",haidian
永泰东里,489万,60.67平米,"80,600元/平",haidian
水科院,560万,46.3平米,"120,951元/平",haidian
逸成东苑,739万,75.6平米,"97,752元/平",haidian
东王庄,640万,62.9平米,"101,749元/平",haidian
建材城西二里,445万,63.19平米,"70,423元/平",haidian
北三环中路甲43号院,899万,81.08平米,"110,879元/平",haidian
博望园,1030万,100.43平米,"102,559元/平",haidian
安宁里南区,570万,82.97平米,"68,700元/平",haidian
万寿寺北里,565万,54.2平米,"104,244元/平",haidian
碧水云天,2460万,148.69平米,"165,445元/平",haidian
志强北园,528万,47.6平米,"110,925元/平",haidian
定慧北里,439万,47.9平米,"91,650元/平",haidian
八宝庄,405万,42.9平米,"94,406元/平",haidian
月季园,700万,83.67平米,"83,663元/平",haidian
今典花园,515万,55.31平米,"93,112元/平",haidian
今日家园,910万,133.2平米,"68,319元/平",haidian
望塔园,805万,81.52平米,"98,749元/平",haidian
恩济里小区,580万,59.79平米,"97,007元/平",haidian
志强南园,552万,64.8平米,"85,186元/平",haidian
远大园三区,2050万,184.73平米,"110,973元/平",haidian
金谷园,720万,68.46平米,"105,171元/平",haidian
双泉堡125号院,870万,102.93平米,"84,524元/平",haidian
东王庄,635万,63.5平米,"100,000元/平",haidian
美丽西园,730万,81.05平米,"90,068元/平",haidian
菊园,468万,53.9平米,"86,828元/平",haidian
车公庄西路14号院,492万,37.9平米,"129,816元/平",haidian
铁东小区,468万,40.4平米,"115,842元/平",haidian
北京市人民检察院宿舍,550万,57.8平米,"95,156元/平",haidian
翠微路25号院,1120万,112.32平米,"99,716元/平",haidian
福美苑,595万,89.45平米,"66,518元/平",haidian
阳春光华家园,1798万,136.62平米,"131,606元/平",haidian
观山园,3200万,227.22平米,"140,833元/平",haidian
恩济里小区,537万,55.4平米,"96,932元/平",haidian
花园村小区,728万,77.4平米,"94,057元/平",haidian
清缘里中区,636万,89.76平米,"70,856元/平",haidian
学院南路72号院,718万,61.84平米,"116,107元/平",haidian
七贤村,715万,66.4平米,"107,681元/平",haidian
前沙涧路7号院,360万,86.55平米,"41,595元/平",haidian
菊园,450万,52.74平米,"85,325元/平",haidian
钟表南园,555万,58.4平米,"95,035元/平",haidian
文慧园,499万,49.1平米,"101,630元/平",haidian
北太平路16号院,745万,69.2平米,"107,659元/平",haidian
轮胎厂宿舍,365万,50.1平米,"72,855元/平",haidian
永泰东里,488万,60.22平米,"81,037元/平",haidian
玉海园二里,439万,46.81平米,"93,784元/平",haidian
双紫小区,848万,81.64平米,"103,871元/平",haidian
学院南路8号,565万,57.9平米,"97,583元/平",haidian
御墅临枫锦园一区,1230万,129.03平米,"95,327元/平",haidian
永泰园新地标,905万,139.59平米,"64,833元/平",haidian
今日家园,939万,106.94平米,"87,807元/平",haidian
静淑东里,1220万,158.6平米,"76,924元/平",haidian
新康园,635万,102.69平米,"61,837元/平",haidian
东王庄,619万,58平米,"106,725元/平",haidian
水科院,850万,73.2平米,"116,121元/平",haidian
昌运宫,510万,56.62平米,"90,075元/平",haidian
西直门北大街43号院,660万,59平米,"111,865元/平",haidian
北京林业大学校内,520万,56.7平米,"91,711元/平",haidian
皂君庙14号院,1828万,173平米,"105,665元/平",haidian
高第小区,1080万,106.3平米,"101,600元/平",haidian
诚品建筑,1880万,193.74平米,"97,038元/平",haidian
七彩华园,1190万,131.39平米,"90,571元/平",haidian
恩济庄82号院,799万,92.69平米,"86,202元/平",haidian
郦城三区,1599万,142.26平米,"112,400元/平",haidian
北新家园,490万,70.2平米,"69,801元/平",haidian
榆苑公寓,1200万,117.41平米,"102,206元/平",haidian
远大园四区,985万,119.01平米,"82,767元/平",haidian
